,Code,Financial Year,Annual Revenue,Annual Net,Annual EPS
0,12,31-Dec-18,"437,977","29,119",5.92
1,12,31-Dec-17,"411,485","41,648",9.24
2,12,31-Dec-16,"387,718","38,921",9.89
3,12,31-Dec-15,"352,400","20,084",5.1
4,12,31-Dec-14,"311,410","18,130",4.6
5,12,31-Dec-13,"302,910","10,182",2.58
6,12,31-Dec-12,"306,428","17,532",4.46
7,12,31-Dec-11,"268,806","15,886",4.04
8,7054,31-Dec-18,"25,728","-5,351",-0.81
9,7054,31-Dec-17,"31,489","-1,647",-0.25
10,7054,31-Dec-16,"25,813",5,-1.54
11,7054,31-Dec-15,"24,583","-5,408",-4.51
12,7054,31-Dec-14,"28,849",-776,-0.65
13,7054,31-Dec-13,"32,324","2,221",1.85
14,7054,31-Dec-12,"36,855","3,475",2.9
15,7054,31-Dec-11,"38,497","7,588",6.32
16,5238,31-Dec-18,"4,544,450","-312,697",-7.6
17,5238,31-Dec-17,"4,562,005","98,886",2.3
18,5238,31-Dec-16,"4,006,534","230,539",5.5
19,5238,31-Dec-15,"3,075,360","-345,462",-14.6
20,5238,31-Dec-14,"2,939,125","-519,346",-21.9
21,5238,31-Dec-13,"1,772,213","-137,194",-10.2
22,7086,31-Dec-18,"3,957",-987,-0.37
23,7086,31-Dec-17,"9,063",3,0
24,7086,31-Dec-16,"9,894",-886,-0.34
25,7086,31-Dec-15,"27,726","-1,425",-0.54
26,7086,31-Dec-14,"18,749",246,0.09
27,7086,31-Dec-13,"5,141","-1,036",-0.39
28,7086,31-Dec-12,"8,013","-8,456",-3.28
29,7086,31-Dec-11,"22,862","-50,376",-32.53
30,2488,31-Mar-19,"1,218,659","425,821",27.5
31,2488,31-Mar-18,"1,572,023","493,228",32.1
32,2488,31-Mar-17,"1,580,550","512,123",33.6
33,2488,31-Mar-16,"1,564,241","522,038",34.2
34,2488,31-Mar-15,"1,382,738","530,780",34.9
35,2488,31-Mar-14,"1,348,964","563,548",37
36,2488,31-Mar-13,"1,333,031","538,044",35.3
37,2488,31-Mar-12,"1,250,374","479,355",31.4
38,7131,31-Mar-19,"22,272","2,951",1.41
39,7131,31-Mar-18,"27,731","3,091",1.48
40,7131,31-Mar-17,"44,593","-1,051",-0.51
41,7131,31-Mar-16,"78,429","3,053",1.45
42,7131,31-Mar-15,"65,220","7,937",3.78
43,7131,31-Mar-14,"14,564","-1,092",-0.52
44,7131,31-Jan-14,"11,601",593,0.28
45,7131,31-Jan-13,"31,372",904,0.44
46,7120,31-Dec-18,"36,389","-7,549",-4.4
47,7120,31-Dec-17,"46,689","-13,883",-8.3
48,7120,31-Dec-16,"114,210",507,0.3
49,7120,31-Dec-15,"108,405","11,013",6.5
50,7120,31-Dec-14,"163,078","-2,083",-1.33
51,7120,31-Dec-13,"236,934",818,0.46
52,7120,31-Dec-12,"316,843","10,043",5.81
53,7120,31-Dec-11,"291,317","11,313",6.6
54,5281,31-Dec-18,"272,860","10,617",2.64
55,5281,31-Dec-17,"265,989","18,463",5.62
56,7191,31-Dec-18,"17,362","-27,996",-18.32
57,7191,31-Oct-18,"42,668","2,133",1.4
58,7191,31-Oct-17,"44,235",139,0.09
59,7191,31-Oct-16,"39,931",671,0.43
60,7191,31-Oct-15,"41,881","3,089",2.02
61,7191,31-Oct-14,"34,797","4,330",2.83
62,7191,31-Oct-13,"27,370","201,982",132.2
63,7191,31-Oct-12,"324,189","25,519",16.69
64,9148,31-Dec-18,"25,418","1,044",5.46
65,9148,31-Dec-17,"24,906","1,175",6.14
66,9148,31-Dec-16,"27,154","2,878",15.06
67,9148,31-Dec-15,"26,024","2,791",14.6
68,9148,31-Dec-14,"24,610","2,018",10.55
69,9148,31-Dec-13,"24,883","2,827",14.75
70,9148,31-Dec-12,"23,420","2,643",13.75
71,9148,31-Dec-11,"23,042","2,395",12.35
72,7146,31-Dec-18,"61,194","-2,077",-0.69
73,7146,31-Dec-17,"62,145","-1,114",-0.17
74,7146,31-Dec-16,"51,599","1,361",0.55
75,7146,31-Dec-15,"42,516","-3,070",-1.55
76,7146,31-Dec-14,"54,683",-992,-1.06
77,7146,31-Dec-13,"43,115",672,0.72
78,7146,31-Dec-12,"49,743",-777,-0.82
79,7146,31-Dec-11,"50,531","-4,220",-4.47
80,6599,31-Dec-18,"4,353,640","105,123",7.49
81,6599,31-Dec-17,"4,109,895","96,434",6.86
82,6599,31-Dec-16,"4,038,654","79,744",5.68
83,6599,31-Dec-15,"3,834,640","133,407",9.51
84,6599,31-Dec-14,"3,705,477","212,706",25.16
85,6599,31-Dec-13,"3,514,418","230,962",65.79
86,6599,31-Dec-12,"3,255,669","212,825",60.62
87,6599,31-Dec-11,"2,984,614","195,353",55.65
88,5139,28-Feb-19,"1,006,307","267,011",102.81
89,5139,28-Feb-18,"1,235,122","300,057",146.39
90,5139,28-Feb-17,"1,101,955","265,027",174.55
91,5139,29-Feb-16,"965,234","228,222",149.03
92,5139,28-Feb-15,"18,795","8,357",5.8
93,5139,20-Feb-15,"852,805","207,369",141.51
94,5139,20-Feb-14,"672,762","175,351",121.78
95,5139,20-Feb-13,"467,128","134,126",102.66
96,5185,31-Dec-18,"1,920,602","503,086",25.94
97,5185,31-Dec-17,"2,179,255","511,375",26.8
98,5185,31-Dec-16,"1,935,874","564,005",29.03
99,5185,31-Dec-15,"1,820,610","369,269",19
100,5185,31-Dec-14,"3,083,475","605,271",35.14
101,5185,31-Dec-13,"3,029,014","650,021",43.49
102,5185,31-Dec-12,"2,987,577","628,942",42.08
103,5185,31-Dec-11,"2,654,425","507,995",34
104,5198,31-Dec-18,"112,027","4,308",2.39
105,5198,31-Dec-17,"100,306","6,284",3.49
106,5198,31-Dec-16,"100,310","3,328",1.85
107,5198,31-Dec-15,"111,548","2,890",1.61
108,5198,31-Dec-14,"111,409","4,874",2.72
109,5198,31-Dec-13,"125,276","6,583",3.97
110,7315,31-Mar-19,"13,659","1,329",0.78
111,7315,31-Mar-18,"17,627","1,220",0.76
112,7315,31-Mar-17,"12,508",549,0.35
113,7315,31-Mar-16,"3,275,817","338,286",1.14
114,7315,30-Jun-15,"4,363,910","436,205",0.96
115,7315,31-Mar-15,"3,164",113,0.08
116,7315,30-Jun-14,"13,468",805,1.59
117,7315,30-Jun-13,"12,499","-8,864",-18.42
118,7090,31-Dec-18,"652,660","58,581",49.98
119,7090,31-Dec-17,"620,264","44,459",37.95
120,7090,31-Dec-16,"581,269","34,954",29.85
121,7090,31-Dec-15,"526,859","34,236",29.23
122,7090,31-Dec-14,"499,237","33,977",30.92
123,7090,31-Dec-13,"418,451","30,021",32.03
124,7090,31-Dec-12,"398,604","29,016",30.95
125,7090,31-Dec-11,"366,002","28,075",29.96
126,4952,31-Dec-18,"31,848","12,319",5.61
127,4952,31-Dec-17,"29,920","17,418",7.91
128,4952,31-Dec-16,"21,143",830,0.83
129,4952,31-Dec-15,"22,695","12,306",12.3
130,4952,31-Dec-14,"14,469","3,887",3.89
131,4952,31-Dec-13,"13,822","5,961",5.96
132,4952,31-Dec-12,"17,938","10,323",10.32
133,4952,31-Dec-11,"17,547","10,102",10.1
134,5099,31-Dec-18,"10,610,990","2,024,706",60.6
135,5099,31-Dec-17,"9,710,158","1,640,305",49.1
136,5099,31-Dec-16,"6,946,289","2,039,123",73.2
137,5099,31-Dec-15,"6,305,089","540,824",19.4
138,5099,31-Dec-14,"5,408,537","83,762",3
139,5099,31-Dec-13,"5,181,335","443,980",16
