,Code,EPS,DPS,NTA,Revenue,Profit/Loss,NQuarter,Quarter Date,Financial Date,Announced,Net
0,12,1.87,0,0.6679,"120,354k","9,198k",4,31/12/2018,31/12/2018,20/2/2019,17.30%
1,12,1.71,2,0.6692,"113,784k","8,398k",3,30/9/2018,31/12/2018,26/11/2018,23.80%
2,12,1.07,0,0.6521,"101,361k","5,285k",2,30/6/2018,31/12/2018,7/8/2018,42.40%
3,12,1.27,0,0.6414,"102,478k","6,238k",1,31/3/2018,31/12/2018,7/5/2018,39.60%
4,12,2.85,0,0.6287,"109,423k","14,026k",4,31/12/2017,31/12/2017,20/2/2018,8.30%
5,12,1.65,1.8,0.6241,"96,542k","8,125k",3,30/9/2017,31/12/2017,6/11/2017,19.90%
6,12,2.12,0,0.6915,"102,338k","9,174k",2,30/6/2017,31/12/2017,17/8/2017,0.40%
7,12,2.62,0,0.7361,"103,182k","10,323k",1,31/3/2017,31/12/2017,11/5/2017,54.30%
8,12,3.29,0,70.99,"95,037k","12,953k",4,31/12/2016,31/12/2016,23/2/2017,322.10%
9,12,2.58,1.8,0.6942,"88,226k","10,138k",3,30/9/2016,31/12/2016,15/11/2016,55.90%
10,12,2.32,0,0.6679,"96,887k","9,138k",2,30/6/2016,31/12/2016,19/8/2016,30.60%
11,12,1.7,0,0.6446,"107,568k","6,692k",1,31/3/2016,31/12/2016,5/5/2016,90.40%
12,12,0.78,0,0.6305,"93,924k","3,071k",4,31/12/2015,31/12/2015,24/2/2016,35.10%
13,12,1.65,1.4,0.6386,"91,134k","6,503k",3,30/9/2015,31/12/2015,24/11/2015,38.90%
14,12,1.78,0,0.6163,"92,749k","6,995k",2,30/6/2015,31/12/2015,14/8/2015,34.40%
15,12,0.89,0,0.5985,"74,593k","3,515k",1,31/3/2015,31/12/2015,5/5/2015,2.40%
16,12,1.18,0,0.5888,"77,299k","4,646k",4,31/12/2014,31/12/2014,16/2/2015,38.20%
17,12,1.19,0,0.5903,"72,963k","4,681k",3,30/9/2014,31/12/2014,14/11/2014,163.40%
18,12,1.32,0,0.5779,"84,510k","5,203k",2,30/6/2014,31/12/2014,14/8/2014,112.60%
19,12,0.91,0,0.5649,"76,638k","3,600k",1,31/3/2014,31/12/2014,29/5/2014,31.80%
20,12,0.82,0,0.5561,"77,807k","3,227k",4,31/12/2013,31/12/2013,19/2/2014,28.30%
21,12,0.45,0,0.5595,"74,769k","1,777k",3,30/9/2013,31/12/2013,20/11/2013,60.30%
22,12,0.62,0,0.5578,"76,507k","2,447k",2,30/6/2013,31/12/2013,23/8/2013,31.60%
23,12,0.69,0,0.5504,"73,827k","2,731k",1,31/3/2013,31/12/2013,26/4/2013,30.70%
24,12,1.29,0,0.5432,"82,885k","5,073k",4,31/12/2012,31/12/2012,28/2/2013,6.90%
25,12,1.25,0,0.5423,"80,217k","4,908k",3,30/9/2012,31/12/2012,27/11/2012,71.70%
26,12,0.98,0,0.5298,"71,887k","3,868k",2,30/6/2012,31/12/2012,15/8/2012,10%
27,12,0.94,0,0.52,"71,439k","3,683k",1,31/3/2012,31/12/2012,25/5/2012,7.50%
28,12,1.21,0,0.5106,"65,166k","4,745k",4,31/12/2011,31/12/2011,27/2/2012,29.40%
29,12,0.73,0,0.5106,"64,940k","2,859k",3,30/9/2011,31/12/2011,16/11/2011,7.60%
30,12,1.09,0,0.5033,"72,987k","4,299k",2,30/6/2011,31/12/2011,24/8/2011,7%
31,12,1.01,0,0.4924,"65,713k","3,983k",1,31/3/2011,31/12/2011,19/5/2011,33%
32,12,0.93,0,0.4823,"64,818k","3,668k",4,31/12/2010,31/12/2010,25/2/2011,18.80%
33,12,0.68,1.2,0.485,"65,740k","2,656k",3,30/9/2010,31/12/2010,29/11/2010,55%
34,12,1.25,0,0.3972,"57,056k","4,623k",2,30/6/2010,31/12/2010,17/8/2010,15.80%
35,12,1.61,0,0.3847,"61,326k","5,947k",1,31/3/2010,31/12/2010,25/5/2010,178.30%
